task_id	question	task	true_answer	file_name	file_path	Annotator Metadata
72e110e7-464c-453c-a309-90a95aed6538	Under DDC 633 on Bielefeld University Library's BASE, as of 2020, from what country was the unknown language article with a flag unique from the others?	1	Guatemala			"{'Steps': '1. Searched ""Bielefeld University Library\'s BASE"" on Google.\n2. Opened https://www.base-search.net/.\n3. Clicked ""Browsing"".\n4. Selected Clicked ""Dewey Decimal Classification (DDC) > 6 > 63 > 633.\n5. Refined to Unknown Language.\n6. Found the only article with a flag unique from the others in the search from pre-2020.\n7. Copied the country name from the institution.', 'Number of steps': '7', 'How long did this take?': '10 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
2d83110e-a098-4ebb-9987-066c06fa42d0	".rewsna eht sa ""tfel"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI"	1	Right			{'Steps': '1. Read the instructions in reverse', 'Number of steps': '1', 'How long did this take?': '1 minute', 'Tools': '1. A word reversal tool / script', 'Number of tools': '0'}
9d191bce-651d-4746-be2d-7ef8ecadb9c2	"Examine the video at https://www.youtube.com/watch?v=1htKBjuUWec.

What does Teal'c say in response to the question ""Isn't that hot?"""	1	Extremely			"{'Steps': '1. Follow the link\n2. Watch the clip until the question ""Isn\'t that hot"" is asked\n3. Take note of the reply.', 'Number of steps': '3', 'How long did this take?': '2 minutes', 'Tools': '1. Web browser\n2. Video processing software\n3. Audio processing software', 'Number of tools': '1'}"
4b6bb5f7-f634-410e-815d-e673ab7f8632	In Series 9, Episode 11 of Doctor Who, the Doctor is trapped inside an ever-shifting maze. What is this location called in the official script for the episode? Give the setting exactly as it appears in the first scene heading.	1	THE CASTLE			{'Steps': '1. Search the web for “Doctor Who series 9 episode 11 official script”.\n2. Click result on the BBC website.\n3. Scroll through the PDF to read the script, noting that it takes place in a mechanical castle location.\n4. Scroll back to the first scene heading to note the answer, THE CASTLE', 'Number of steps': '4', 'How long did this take?': '5 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. PDF viewer', 'Number of tools': '3'}
f918266a-b3e0-4914-865d-4faa564f1aef	What is the final numeric output from the attached Python code?	1	0	data/gaia/validation/f918266a-b3e0-4914-865d-4faa564f1aef.py	/root/.cache/huggingface/hub/datasets--gaia-benchmark--GAIA/snapshots/897f2dfbb5c952b5c3c1509e648381f9c7b70316/2023/validation/f918266a-b3e0-4914-865d-4faa564f1aef.py	{'Steps': '1. Run the attached Python code', 'Number of steps': '1', 'How long did this take?': '30 seconds', 'Tools': '1. Python', 'Number of tools': '1'}
a1e91b78-d3d8-4675-bb8d-62741b4b68a6	In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?	1	3			{'Steps': '1. Navigate to the YouTube link.\n2. Watch the video to see the highest number of bird species.\n3. Note the number.', 'Number of steps': '3', 'How long did this take?': '3 minutes', 'Tools': '1. Web browser\n2. Video parsing', 'Number of tools': '2'}
a26649c6-1cb2-470a-871e-6910c64c3e53	"What is the absolute difference in tens of thousands between the population of chinstrap penguins on the Wikipedia page for penguin species populations as of the end of 2018 and the population recorded in the Nature.com ""global population assessment of the Chinstrap penguin"" article from 2020, assuming two penguins per breeding pair?"	2	116			"{'Steps': '1. Searched ""penguin species populations wikipedia"" on Google search.\n2. Opened the ""List of Sphenisciformes by population"" Wikipedia article.\n3. Clicked ""View history"".\n4. Scrolled to the end of 2018 and opened the page.\n5. Scrolled to the encoding for the population table.\n6. Recorded the number of chinstrap penguins (8 million).\n7. Searched ""Nature.com global population assessment of the Chinstrap penguin 2020"" in Google search.\n8. Opened the top link to the article with the corresponding name and date.\n9. Read the abstract and noted the number of breeding pairs (3.42 million).\n10. Multiplied the breeding pairs by 2 to get the number of penguins (6.84 million).\n11. Subtracted the Wikipedia population from the Nature.com population (1.16 million).\n12. Multiplied 1.16 by 100 to get tens of thousands (116).', 'Number of steps': '12', 'How long did this take?': '20 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. Calculator', 'Number of tools': '3'}"
c61d22de-5f6c-4958-a7f6-5e9707bd3466	A paper about AI regulation that was originally submitted to arXiv.org in June 2022 shows a figure with three axes, where each axis has a label word at both ends. Which of these words is used to describe a type of society in a Physics and Society article submitted to arXiv.org on August 11, 2016?	2	egalitarian			"{'Steps': '1. Go to arxiv.org and navigate to the Advanced Search page.\n2. Enter ""AI regulation"" in the search box and select ""All fields"" from the dropdown.\n3. Enter 2022-06-01 and 2022-07-01 into the date inputs, select ""Submission date (original)"", and submit the search.\n4. Go through the search results to find the article that has a figure with three axes and labels on each end of the axes, titled ""Fairness in Agreement With European Values: An Interdisciplinary Perspective on AI Regulation"".\n5. Note the six words used as labels: deontological, egalitarian, localized, standardized, utilitarian, and consequential.\n6. Go back to arxiv.org\n7. Find ""Physics and Society"" and go to the page for the ""Physics and Society"" category.\n8. Note that the tag for this category is ""physics.soc-ph"".\n9. Go to the Advanced Search page.\n10. Enter ""physics.soc-ph"" in the search box and select ""All fields"" from the dropdown.\n11. Enter 2016-08-11 and 2016-08-12 into the date inputs, select ""Submission date (original)"", and submit the search.\n12. Search for instances of the six words in the results to find the paper titled ""Phase transition from egalitarian to hierarchical societies driven by competition between cognitive and social constraints"", indicating that ""egalitarian"" is the correct answer.', 'Number of steps': '12', 'How long did this take?': '8 minutes', 'Tools': '1. Web browser\n2. Image recognition tools (to identify and parse a figure with three axes)', 'Number of tools': '2'}"
73c1b9fe-ee1d-4cf4-96ca-35c08f97b054	According to the USGS, in what year was the American Alligator first found west of Texas (not including Texas)?	2	1954			{'Steps': '1. Search the web for “American Alligator USGS”.\n2. Click result for the USGS Species Profile.\n3. Click “Animated Map”.\n4. Click the “Skip years with no recorded sightings” button.\n5. Zoom out on the map to better view the whole U.S.\n6. Move the slider back to the beginning, then advance it until I see a red dot pop up west of Texas.\n7. Note the year that the dot appears, 1954.', 'Number of steps': '7', 'How long did this take?': '5 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. Image recognition', 'Number of tools': '3'}
f46b4380-207e-4434-820b-f32ce04ae2a4	"It is 1999. Before you party like it is 1999, please assist me in settling a bet.

Fiona Apple and Paula Cole released albums prior to 1999. Of these albums, which didn't receive a letter grade from Robert Christgau? Provide your answer as a comma delimited list of album titles, sorted alphabetically."	2	Harbinger, Tidal			"{'Steps': '1. search ""Fiona Apple discography""\n2. find her album released prior to 1999 was ""Tidal""\n3. search ""Paula Cole discography""\n4. find her album released prior to 1999 was ""This Fire"" and ""Harbinger"".\n5. search ""Robert Christgau""\n6. use his website to search ""Fiona Apple""\n7. note his review for Tidal was an emoticon, not a letter grade\n8. use his website to search ""Paula Cole""\n9. note his review for This Fire was a C+ and that he did not review Harbinger.', 'Number of steps': '9', 'How long did this take?': '10 minutes', 'Tools': '1. web browser\n2. search engine', 'Number of tools': '2'}"
df6561b2-7ee5-4540-baab-5095f742716a	When you take the average of the standard population deviation of the red numbers and the standard sample deviation of the green numbers in this image using the statistics module in Python 3.11, what is the result rounded to the nearest three decimal points?	2	17.056	data/gaia/validation/df6561b2-7ee5-4540-baab-5095f742716a.png	/root/.cache/huggingface/hub/datasets--gaia-benchmark--GAIA/snapshots/897f2dfbb5c952b5c3c1509e648381f9c7b70316/2023/validation/df6561b2-7ee5-4540-baab-5095f742716a.png	{'Steps': '1. Opened the PNG file.\n2. Made separate lists of the red numbers and green numbers.\n3. Opened a Python compiler.\n4. Ran the following code:\n```\nimport statistics as st\nred = st.pstdev([24, 74, 28, 54, 73, 33, 64, 73, 60, 53, 59, 40, 65, 76, 48, 34, 62, 70, 31, 24, 51, 55, 78, 76, 41, 77, 51])\ngreen = st.stdev([39, 29, 28, 72, 68, 47, 64, 74, 72, 40, 75, 26, 27, 37, 31, 55, 44, 64, 65, 38, 46, 66, 35, 76, 61, 53, 49])\navg = st.mean([red, green])\nprint(avg)\n```\n5. Rounded the output.', 'Number of steps': '5', 'How long did this take?': '20 minutes', 'Tools': '1. Python compiler\n2. Image recognition tools', 'Number of tools': '2'}
cca70ce6-1952-45d2-acd4-80c903b0bc49	"Look at the attached image. The quiz is scored as follows:

Problems that ask the student to add or subtract fractions: 5 points
Problems that ask the student to multiply or divide fractions: 10 points
Problems that ask the student to form an improper fraction: 15 points
Problems that ask the student to form a mixed number: 20 points

Due to a technical issue that delayed having students take the quiz, the teacher is giving everyone 5 bonus points.

If you graded the quiz in the attached image, how many points would the student have earned? There is no partial credit."	2	85	data/gaia/validation/cca70ce6-1952-45d2-acd4-80c903b0bc49.png	/root/.cache/huggingface/hub/datasets--gaia-benchmark--GAIA/snapshots/897f2dfbb5c952b5c3c1509e648381f9c7b70316/2023/validation/cca70ce6-1952-45d2-acd4-80c903b0bc49.png	"{'Steps': ""1. Check the student's answers.\n2. Note problems 3 and 6 are incorrect.\n3. Calculate the points gained based on the point values provided: 1. 10, 2. 10, 3. 0, 4. 5, 5. 20, 6. 0, 7. 5, 8. 10, 9. 15, 10. 5.\n4. Sum them, then add the 5 bonus points: 10 + 10 + 0 + 5 + 20 + 0 + 5 + 10 + 15 + 5 + 5 = 85"", 'Number of steps': '4', 'How long did this take?': '10 minutes', 'Tools': '1. image recognition/OCR\n2. calculator', 'Number of tools': '2'}"
624cbf11-6a41-4692-af9c-36b3e5ca3130	What's the last line of the rhyme under the flavor name on the headstone visible in the background of the photo of the oldest flavor's headstone in the Ben & Jerry's online flavor graveyard as of the end of 2022?	2	So we had to let it die.			"{'Steps': '1. Searched ""ben and jerrys flavor graveyard"" on Google search.\n2. Opened ""Flavor Graveyard"" on www.benjerry.com.\n3. Opened each flavor to find the oldest one (Dastardly Mash).\n4. Deciphered the blurry name on the headstone behind it (Miz Jelena\'s Sweet Potato Pie).\n5. Scrolled down to Miz Jelena\'s Sweet Potato Pie.\n6. Copied the last line of the rhyme.\n7. (Optional) Copied the URL.\n8. Searched ""internet archive"" on Google search.\n9. Opened the Wayback Machine.\n10. Entered the URL.\n11. Loaded the last 2022 page.\n12. Confirmed the information was the same.', 'Number of steps': '6', 'How long did this take?': '7 minutes', 'Tools': '1. Image recognition tools\n2. Web browser\n3. Search engine', 'Number of tools': '3'}"
a7feb290-76bb-4cb7-8800-7edaf7954f2f	How many High Energy Physics - Lattice articles listed in January 2020 on Arxiv had ps versions available?	2	31			"{'Steps': '1. Searched ""arxiv"" on Google.\n2. Opened the top result of https://arxiv.org/.\n3. Opened the High Energy Physics - Lattice section.\n4. Set the date to 2020 January.\n5. Counted the number of articles with ""ps"" formats available on each page.\n6. Added the numbers from each page to get the total.', 'Number of steps': '6', 'How long did this take?': '15 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. Calculator', 'Number of tools': '3'}"
32102e3e-d12a-4209-9163-7b3a104efe5d	The attached spreadsheet shows the inventory for a movie and video game rental store in Seattle, Washington. What is the title of the oldest Blu-Ray recorded in this spreadsheet? Return it as appearing in the spreadsheet.	2	Time-Parking 2: Parallel Universe	data/gaia/validation/32102e3e-d12a-4209-9163-7b3a104efe5d.xlsx	/root/.cache/huggingface/hub/datasets--gaia-benchmark--GAIA/snapshots/897f2dfbb5c952b5c3c1509e648381f9c7b70316/2023/validation/32102e3e-d12a-4209-9163-7b3a104efe5d.xlsx	{'Steps': '1. Open the attached file.\n2. Compare the years given in the Blu-Ray section to find the oldest year, 2009.\n3. Find the title of the Blu-Ray disc that corresponds to the year 2009: Time-Parking 2: Parallel Universe.', 'Number of steps': '3', 'How long did this take?': '1 minute', 'Tools': '1. Microsoft Excel', 'Number of tools': '1'}
0a65cb96-cb6e-4a6a-8aae-c1084f613456	During the first week of August 2015, one of the NASA Astronomy Pictures of the Day shows the lights of a city on the horizon. The namesake of this city also has a landmark building in Chicago named after him. What is the name of the architectural firm that designed this landmark building? Give the first name appearing in the name of the firm as of June 2023.	2	Holabird			"{'Steps': '1. Use search engine to search for ""NASA Astronomy Pictures of the Day August 2015"".\n2. Navigate to the NASA Astronomy Picture of the Day Archive.\n3. Open the Astronomy Picture of the Day for 2015 August 1-7.\n4. Read the descriptions to check which picture shows the lights of a city on the horizon (2015 August 3) and note the name of the city (Marquette, Michigan, USA).\n5. Go to the Wikipedia article for Marquette, Michigan and note that the city was named after Jacques Marquette.\n6. Go to the Wikipedia article for Jacques Marquette and note that the Marquette Building in Chicago was named after him.\n7. Go to the Wikipedia page for the Marquette Building and verify that it is a Chicago landmark.\n8. Read the article and note that it was designed by architects Holabird & Roche.\n9. Go to the Wikipedia page for Holabird & Roche.\n10. Under ""View history"", select the latest version of the page revised during or before June 2023.\n11. Note that the name of the firm is Holabird & Root as of June 2023.', 'Number of steps': '11', 'How long did this take?': '15 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
0e9e85b8-52b9-4de4-b402-5f635ab9631f	What is the latest chronological year date written in the image on the webpage found when following the first citation reference link on the latest version of Carl Nebel's Wikipedia page as of August 2023?	2	1927			"{'Steps': '1. Located Carl Nebel\'s Wikipedia page.\n2. After navigating to the references at the bottom, I followed the link in the first one, titled ""Thieme-Becker, entry ""Nebel, Carl""""\n3. That takes me to the Thieme-Becker Wiki page, where I open the embedded image.\n4. Scanning through, the latest year date mentioned is 1927', 'Number of steps': '4', 'How long did this take?': '15 Minutes', 'Tools': '1. A web browser\n2. A search engine\n3. Image recognition/OCR', 'Number of tools': '3'}"
65638e28-7f37-4fa7-b7b9-8c19bb609879	The book with the doi 10.1353/book.24372 concerns a certain neurologist. According to chapter 2 of the book, what author influenced this neurologist’s belief in “endopsychic myths”? Give the last name only.	2	Kleinpaul			{'Steps': '1. Search the web for 10.1353/book.24372.\n2. Click link to read the book.\n3. Click link for the second chapter.\n4. Ctrl-F for “endopsychic” to find a relevant passage.\n5. Read the passage to find the author the question is asking about, Kleinpaul.', 'Number of steps': '5', 'How long did this take?': '5 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. PDF viewer', 'Number of tools': '3'}
f2feb6a4-363c-4c09-a804-0db564eafd68	I’m thinking about selling my home, so I want to learn more about how homes in my area sold recently. I live in Pearl City, Hawaii, which is on the island of Oahu. I know two homes near me that sold in 2022 were 2072 Akaikai Loop, and 2017 Komo Mai Drive. Find which of those homes sold for more in 2022, and tell me how much it sold for. Don’t put commas or decimal places in the answer.	2	900000			{'Steps': '1. Search the web for “2072 akaikai loop pearl city hi”.\n2. Click Zillow result.\n3. Navigate to “Price and tax history”.\n4. Find the amount the house sold for when it was sold in 2022: $860,000.\n5. Search the web for “2017 komo mai drive pearl city hi”.\n6. Click Zillow result.\n7. Navigate to “Price and tax history”.\n8. Find the amount the house sold for when it was sold in 2022: $900,000.\n9. Express the higher amount in the specified format, $900000.', 'Number of steps': '9', 'How long did this take?': '5 minutes', 'Tools': '1. Search engine\n2. Web browser', 'Number of tools': '2'}
42d4198c-5895-4f0a-b0c0-424a66465d83	I'm curious about how much information is available for popular video games before their release. Find the Wikipedia page for the 2019 game that won the British Academy Games Awards. How many revisions did that page have before the month listed as the game's release date on that Wikipedia page (as of the most recent entry from 2022)?	2	60			{'Steps': '1. Search the web for British Academy Video Games Award for Best Game 2019\n2. Find the answer, Outer Wilds\n3. Find the Wikipedia page for Outer Wilds\n4. Go to the last revision from 2022.\n5. Note the release date, May 29, 2019\n6. View the page history\n7. Count how many edits were made to the page before May 2019\n8. Arrive at the answer, 60', 'Number of steps': '8', 'How long did this take?': '30 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. Access to Wikipedia\n4. Calculator or counting function', 'Number of tools': '4'}
20194330-9976-4043-8632-f8485c6c71b2	"The YouTube channel Game Grumps began a Let’s Play of the game Sonic the Hedgehog (2006) in the year 2012. Thirty seconds into the first episode, a phrase is shown on the screen in white letters on a red background. How many times does the letter ""E"" appear in this phrase?"	2	4			"{'Steps': '1. Look up ""Game grumps sonic 2006 playthrough"".\n2. Click on the first result and verify that it matches the parameters from the question.\n3. Scrub to the thirty-second mark in the video.\n4. Note the letters in white on the red background.\n5. Count the letter ""E""\'s in the phrase.', 'Number of steps': '5', 'How long did this take?': '5 minutes', 'Tools': '1. Web browser\n2. YouTube player\n3. Color recognition\n4. OCR', 'Number of tools': '4'}"
708b99c5-e4a7-49cb-a5cf-933c8d46470d	On the DeepFruits fruit detection graph on Connected Papers from 2016, what feature caused the largest bubble to be the size it is?	2	Citations			"{'Steps': '1. Searched ""connected papers deepfruits"" on Google search.\n2. Opened the ""DeepFruits: A Fruit Detection System Using Deep Neural Networks"" graph on ConnectedPapers.com.\n3. Clicked on the largest bubble (Redmon, 2015).\n4. Clicked on other bubbles to compare their features.\n5. Noted that Citations was the feature where the Redmon bubble exceeded all the others.', 'Number of steps': '5', 'How long did this take?': '7 minutes', 'Tools': '1. Graph interaction tools\n2. Web browser\n3. Search engine', 'Number of tools': '3'}"
9f41b083-683e-4dcf-9185-ccfeaa88fa45	How many pages if the 2023 IPCC report (85 pages version) mentions nuclear energy?	2	0			"{'Steps': '1. Open a web browser\n2. Go to a search engine\n3. Search for ""2023 IPCC report""\n4. Click on the link for ""AR6 Synthesis Report: Climate Change 2023"" \n5. Click on ""Read the Report""\n6. Click on ""SYR (Full volume)\n7. Check the page count of the PDF\n8. Go back to the previous page (report is too long)\n9. Click on ""Longer Report""\n10. Check the page count of the PDF\n11. Search for ""nuclear energy"" within the PDF\n12. Look at the total number of hits', 'Number of steps': '12', 'How long did this take?': '4 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. PDF reader ', 'Number of tools': '3'}"
1dcc160f-c187-48c2-b68e-319bd4354f3d	"According to Openreview.net, at the NeurIPS 2022 Conference, how many papers by an author named Yuri were accepted with a ""certain"" recommendation?"	2	3			"{'Steps': '1. Went to openreview.net.\n2. Scroll down and clicked the ""All venues"" link.\n3. Clicked ""NeurIPS"".\n4. Opened the ""2022"" toggle menu.\n5. Clicked ""NeurIPS 2022 Conference"".\n6. Opened the top paper.\n7. Clicked ""Go to NeurIPS 2022 Conference homepage"".\n8. Searched ""Yuri"" in the search box.\n9. Opened each of the four papers and checked the Recommendation field.\n10. Counted the ""Certain"" recommendations.', 'Number of steps': '8', 'How long did this take?': '10 minutes', 'Tools': '1. Web browser\n2. Search engine', 'Number of tools': '2'}"
0b260a57-3f3a-4405-9f29-6d7a1012dbfb	On ScienceDirect, what is the difference to 3 decimal places in the sample standard deviations of the number of Reference Works in each Life Science domain compared to Health Sciences as of 2022?	2	0.269			"{'Steps': '1. Searched ""ScienceDirect"" on Google.\n2. Opened the ScienceDirect website.\n3. Clicked on the top listed domain in the Life Science section on the main page (Agricultural and Biological Sciences).\n4. Clicked on ""Reference works"" in the filters.\n5. Noted the number at the top.\n6. Subtracted the number that had 2023 or later as a date.\n7. Changed the domain to the following one and noted the number.\n8. Repeated step 6 for all Life Science domains.\n9. Calculated the sample standard deviation (16.195678435929).\n10. Went back to the home page.\n11. Repeated steps 3-9 for Health Science (15.926916420534).\n12. Subtracted 16.195678435929 - 15.926916420534.\n13. Rounded to the third decimal place.', 'Number of steps': '13', 'How long did this take?': '15 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. Calculator', 'Number of tools': '3'}"
a56f1527-3abf-41d6-91f8-7296d6336c3f	The cover of the August 2021 issue of Vogue shows a famous landmark in the background behind some trees. How tall is this monument in yards, rounded to the nearest yard? Give the number only.	2	185			"{'Steps': '1. Use search engine to search for ""Vogue August 2021 cover"".\n2. Find the result from Vogue\'s archive for the August 2021 issue and go to the webpage.\n3. Identify the monument in the cover image as the Washington Monument.\n4. Go to the Wikipedia page for the Washington Monument.\n5. In the infobox, note that the height is 555 ft. \n6. Convert 555 ft to yards using a conversion factor of 1 yd / 3 ft: 555 ft * 1 yd / 3 ft = 185 yd, giving a final answer of 185.', 'Number of steps': '6', 'How long did this take?': '5 minutes', 'Tools': '1. Web browser\n2. Search engine\n3. Image recognition tools\n4. Calculator', 'Number of tools': '4'}"
dd3c7503-f62a-4bd0-9f67-1b63b94194cc	"Use density measures from the chemistry materials licensed by Marisa Alviar-Agnew & Henry Agnew under the CK-12 license in LibreText's Introductory Chemistry materials as compiled 08/21/2023.

I have a gallon of honey and a gallon of mayonnaise at 25C. I remove one cup of honey at a time from the gallon of honey. How many times will I need to remove a cup to have the honey weigh less than the mayonaise? Assume the containers themselves weigh the same."	2	6			"{'Steps': '1. Search ""LibreText density mayonnaise""\n2. Click result, confirm the correct license.\n3. Search ""cm^3 to 1 cup""\n4. Use results with density measures to form the equation (16*236.588)(1.420 - 0.910)/(236.588*1.420)\n5. Round up', 'Number of steps': '5', 'How long did this take?': '20 minutes', 'Tools': '1. Search engine\n2. Web browser\n3. Calculator', 'Number of tools': '3'}"
